"","Dept1","Title","Description","Dept2","Dept3","Dept4","Dept5","Dept6","Dept7","Dept8","Dept9","Dept10","Keywords"
"721","LING231","Neurolinguistics","<p>The study of language as a cognitive neuroscience. The interaction between linguistic theory and neurological evidence from brain damage, degenerative diseases (e.g., Alzheimer's disease), mental illness (e.g., schizophrenia), neuroimaging, and neurophysiology. The connection of language as a neurocognitive system to other systems such as memory and music.</p>
","PSYC331",NA,NA,NA,NA,NA,NA,NA,NA,"language cognitive interaction linguistic neurological brain damage degenerative diseases eg alzheimers disease mental illness schizophrenia neuroimaging neurophysiology neurocognitive systems memory"
"722","LING235","Phonological Theory","<p>Topics in the architecture of a theory of sound structure.&#160;Motivations for replacing a system of ordered rules with a system of ranked constraints. Optimality theory: universals, violability, constraint types and their interactions. Interaction of phonology and morphology, as well as the relationship of phonological theory to language acquisition and learnability. Opacity, lexical phonology, and serial versions of optimality theory.</p>","LING635",NA,NA,NA,NA,NA,NA,NA,NA,"topics sound replacing ordered rules ranked optimality universals violability constraint interactions interaction phonology well phonological language learnability opacity lexical serial versions motivations"
"723","LING254","Syntax II","<p>Recent developments in the principles and parameters approach to syntactic theory. In-depth exploration of theoretical and empirical issues in long-distance dependencies (island effects, dependency types, movement vs. binding), the character of syntactic structure (constituency, thematic mapping, functional categories), and the architecture of grammatical derivations (logical form, operations for structure building, anaphora).</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"recent parameters syntactic indepth exploration theoretical empirical longdistance dependencies island dependency movement vs binding constituency thematic functional derivations logical operations building anaphora"
"724","LING264","Semantics II","<p>The model-theoretic approach to semantics and its treatment of core linguistic phenomena. Topics include quantification; tense, aspect, and modality; context and interpretation; and the semantics-pragmatics interface.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"modeltheoretic semantics core linguistic phenomena topics quantification tense aspect modality context semanticspragmatics interface"
"725","LING280","Morphology","<p>The theory of word structure within a formal grammar. Relation to other areas of grammar (syntax, phonology); basic units of word structure; types of morphology (inflection, derivation, compounding).</p>
","LING680",NA,NA,NA,NA,NA,NA,NA,NA,"word within formal syntax phonology inflection derivation compounding"
"726","LING322","Topics in Phonology: Prosody in Phonetics and Phonology","<p>Exploration of the phonetics and phonology of prosodic phenomena, in particular word-level prosody and phrase-level prosody. Phonetics topics include segmental and suprasegmental cues to prosodic structure, as well the phonetics of tone, phonation, and stress. Phonology topics include case studies of prosodic patterning in individual languages. Particular emphasis on typologically unusual prosodic systems, such as ‘hybrid’ tone-stress systems and rich tonal systems.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"exploration phonetics phonology prosodic phenomena particular wordlevel prosody phraselevel topics segmental suprasegmental cues well tone phonation stress patterning individual languages emphasis typologically unusual systems hybrid tonestress rich tonal"
"727","LING368","Information Structure and the Syntax-Phonology Interface","<p class=""p1"">Introduction to the syntax-phonology interface, that is, the mapping between sentence structure and phonetic, phonological, and gestural properties of the speech signal in which such structures are encoded in natural language. Study of the different theoretical analyses of the interface and the background and tools necessary to pursue research in this area.&#160;</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"p classp1introduction syntaxphonology interface sentence phonetic phonological gestural speech signal structures encoded natural language theoretical analyses background necessary pursue "
"728","LING376","Implicature and Pragmatic Theory","<p>Theoretical and experimental approaches to conversational and conventional implicature. Pragmatic intrusion into what is said; constraints on truth-conditional content in neo-Gricean pragmatics and relevance theory. Arguments for and against the grammatical view of scalar implicature. Evidence from studies on the acquisition and processing of implicature and presupposition</p>","LING776","PHIL690",NA,NA,NA,NA,NA,NA,NA,"theoretical conversational conventional implicature pragmatic intrusion said truthconditional neogricean pragmatics relevance arguments view scalar processing presupposition"
"730","LING125","Introductory Sanskrit II","<p>Continuation of SKRT 110. Focus on the basics of Sanskrit grammar; readings from classical Sanskrit texts written in Devanagari script.</p>
","LING525","SKRT520","SKRT120",NA,NA,NA,NA,NA,NA,"skrt 110 focus basics texts devanagari script"
"731","LING148","Intermediate Sanskrit II","<p>Continuation of SKRT 130, focusing on Sanskrit literature from the <em>kavya</em> genre. Readings include selections from the <em>Jatakamala</em> of Aryasura and the opening verses of Kalidasa's <em>Kumarasambhava.</em></p>
","LING548","SKRT540","SKRT140",NA,NA,NA,NA,NA,NA,"skrt 130 focusing  selections aryasura opening verses kalidasas"
"732","LING227","Language and Computation I","<p>Design and analysis of computational models of language. Topics include finite state tools, computational morphology and phonology, grammar and parsing, lexical semantics, and the use of linguistic models in applied problems.</p>","PSYC327",NA,NA,NA,NA,NA,NA,NA,NA,"design models language topics state phonology parsing lexical semantics use linguistic applied"
"733","LITR474","Art and Revolution in the Middle East","<p>Readings and films on the relation of artistic to political revolutions, focusing on moments of political crisis in Algeria, Palestine, and Syria.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"films artistic political revolutions focusing moments crisis algeria palestine syria"
"738","LITR245","Novels of Tolstoy and Dostoevsky","<p>Close reading of major novels by two of Russia's greatest authors. Focus on the interrelations of theme, form, and literary-cultural context. Readings and discussion in English.</p>","RSEE254","RUSS254",NA,NA,NA,NA,NA,NA,NA,"novels two russias authors focus interrelations theme literarycultural context discussion english"
"739","MATH108","Estimation and Error","<p>A problem-based investigation of basic mathematical principles and techniques that help make sense of the world. Estimation, order of magnitude, approximation and error, counting, units, scaling, measurement, variation, simple modeling. Applications to demographics, geology, ecology, finance, and other fields. Emphasis on both the practical and the philosophical implications of the mathematics.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"problembased mathematical techniques make world estimation magnitude approximation counting scaling measurement variation applications demographics geology ecology finance emphasis implications mathematics"
"740","MATH112","Calculus of Functions of One Variable I","<p>Limits and their properties. Definitions and some techniques of differentiation and the evaluation of definite integrals, with applications. Use of the software package Mathematica to illustrate concepts.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"limits definitions techniques definite applications use software package mathematica illustrate concepts"
"741","MATH115","Calculus of Functions of One Variable II","<p>A continuation of MATH 112. Applications of integration, with some formal techniques and numerical methods. Improper integrals, approximation of functions by polynomials, infinite series. Exercises involve the software package Mathematica.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"math 112 applications formal techniques numerical methods improper approximation polynomials infinite involve software package mathematica"
"742","MATH116","Mathematical Models in the Biosciences I: Calculus Techniques","<p>Introduction to topics in mathematical modeling that are applicable to biological systems. Discrete and continuous models of population, neural, and cardiac dynamics. Stability of fixed points and limit cycles of differential equations. Applications include Norton's chemotherapy scheduling and stochastic models of tumor suppressor gene networks.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"topics mathematical applicable biological systems discrete models population neural cardiac stability fixed points limit cycles applications nortons chemotherapy scheduling stochastic tumor suppressor gene networks"
"743","MATH118","Introduction to Functions of Several Variables","<p>A combination of linear algebra and differential calculus of several variables. Matrix representation of linear equations, Gauss elimination, vector spaces, independence, basis and dimension, projections, least squares approximation, and orthogonality. Three-dimensional geometry, functions of two and three variables, level curves and surfaces, partial derivatives, maxima and minima, and optimization. Intended for students in the social sciences, especially Economics.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"combination linear variables matrix gauss elimination spaces dimension projections squares approximation orthogonality threedimensional geometry two three level curves surfaces partial derivatives maxima minima optimization intended students social sciences economics"
"744","MATH120","Calculus of Functions of Several Variables","<p>Analytic geometry in three dimensions, using vectors. Real-valued functions of two and three variables, partial derivatives, gradient and directional derivatives, level curves and surfaces, maxima and minima. Parametrized curves in space, motion in space, line integrals; applications. Multiple integrals, with applications. Divergence and curl. The theorems of Green, Stokes, and Gauss.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"analytic geometry three using vectors realvalued two variables partial derivatives gradient directional level curves surfaces maxima minima parametrized line applications multiple divergence curl theorems green stokes gauss"
"745","MATH225","Linear Algebra and Matrix Theory","<p>An introduction to the theory of vector spaces, matrix theory and linear transformations, determinants, eigenvalues, and quadratic forms. Some relations to calculus and geometry are included.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"spaces matrix linear determinants eigenvalues quadratic relations geometry"
"746","MATH231","Vector Calculus and Linear Algebra II","<p>Continuation of MATH 230. Application of linear algebra to differential calculus. Inverse and implicit function theorems; the idea of a manifold; integration of differential forms; general Stokes' theorem.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"math 230 application linear inverse implicit function theorems idea manifold stokes theorem"
"747","MATH235","Reflection Groups","<p>Concepts of linear algebra are used to explore the algebraic and geometric properties of groups generated by reflections. Examples from reflection groups introduce elements of group theory, Lie algebras, and representation theory. Reflections in a real Euclidean space, groups generated by reflections, crystallographic groups, and Coxeter groups.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"concepts linear used explore algebraic geometric groups reflection introduce lie algebras real euclidean crystallographic coxeter"
"748","MATH246","Ordinary Differential Equations","<p>First-order equations, second-order equations, linear systems with constant coefficients. Numerical solution methods. Geometric and algebraic properties of differential equations.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"firstorder secondorder linear systems constant coefficients numerical methods geometric algebraic"
"749","MATH300","Topics in Analysis","<p>An introduction to analysis, with topics chosen from infinite series, the theory of metric spaces, and fixed-point theorems with applications.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"topics infinite metric spaces fixedpoint theorems applications"
"750","MATH305","Real Analysis","<p>The Lebesgue integral, Fourier series, applications to differential equations.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"lebesgue integral fourier applications"
"751","MATH315","Intermediate Complex Analysis","<p>Continuation of MATH 310. Topics may include argument principle, Rouché's theorem, Hurwitz theorem, Runge's theorem, analytic continuation, Schwarz reflection principle, Jensen's formula, infinite products, Weierstrass theorem. Functions of finite order, Hadamard's theorem, meromorphic functions. Mittag-Leffler's theorem, subharmonic functions.</p>
","MATH515",NA,NA,NA,NA,NA,NA,NA,NA,"math 310 topics may argument principle rouchés theorem hurwitz runges analytic schwarz reflection jensens formula infinite products weierstrass hadamards meromorphic mittaglefflers subharmonic"
"752","MATH325","Introduction to Functional Analysis","<p>Hilbert, normed, and Banach spaces; geometry of Hilbert space, Riesz-Fischer theorem; dual space; Hahn-Banach theorem; Riesz representation theorems; linear operators; Baire category theorem; uniform boundedness, open mapping, and closed graph theorems.</p>
","MATH525",NA,NA,NA,NA,NA,NA,NA,NA,"hilbert normed banach spaces geometry rieszfischer theorem dual hahnbanach riesz theorems linear operators baire category uniform boundedness closed graph"
"753","MATH354","Number Theory","<p>Prime numbers; quadratic reciprocity law, Gauss sums; finite fields, equations over finite fields; zeta functions.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"prime numbers quadratic reciprocity gauss sums zeta"
"754","MATH370","Fields and Galois Theory","<p>Rings, with emphasis on integral domains and polynomial rings. The theory of fields and Galois theory, including finite fields, solvability of equations by radicals, and the fundamental theorem of algebra. Quadratic forms.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"rings emphasis integral domains polynomial galois including solvability radicals theorem quadratic"
"755","MATH381","Modern Algebra II","<p>Topics in commutative algebra: general extension of fields; Noetherian, local, and Dedekind rings. Introduction to valuation theory. Rudiments of algebraic geometry.</p>
","MATH501",NA,NA,NA,NA,NA,NA,NA,NA,"topics commutative noetherian dedekind rings valuation rudiments algebraic geometry"
"756","MATH435","Differential Geometry","<p>Applications of calculus to the study of the geometry of curves and surfaces in Euclidean space, intrinsic differential geometric properties of manifolds, and connections with non-Euclidean geometries and topology.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"applications geometry curves surfaces euclidean intrinsic geometric manifolds noneuclidean geometries topology"
"758","MATH242","Theory of Statistics","<p>Study of the principles of statistical analysis. Topics include maximum likelihood, sampling distributions, estimation, confidence intervals, tests of significance, regression, analysis of variance, and the method of least squares. Some statistical computing.</p>
","STAT542","STAT242",NA,NA,NA,NA,NA,NA,NA,"statistical topics likelihood sampling distributions estimation confidence intervals tests significance variance squares computing"
"759","MATH330","Advanced Probability","<p>Measure theoretic probability, conditioning, laws of large numbers, convergence in distribution, characteristic functions, central limit theorems, martingales.</p>
","STAT600","STAT330",NA,NA,NA,NA,NA,NA,NA,"measure theoretic conditioning laws large numbers convergence distribution characteristic central limit theorems martingales"
"760","MB&B050","Topics in Cancer Biology","<p>Introduction to cancer as a genetic disease, with a focus on major discoveries in cancer biology that offer mechanistic insights into the disease process. A brief history of cancer; influence of the genomic revolution on cancer diagnostics; molecular defects underlying specific cancers; current and future cancer therapeutics. Patient case studies highlight specific molecular pathways and treatment strategies.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cancer genetic disease focus biology offer mechanistic insights genomic revolution diagnostics molecular defects cancers future therapeutics patient highlight pathways strategies"
"761","MB&B105","An Issues Approach to Biology","<p>Biological concepts taught in context of current societal issues, such as emerging diseases, genetically modified organisms, green energy, stem cell research, and human reproductive technology. Emphasis on biological literacy to enable students to evaluate scientific arguments.</p>","MCDB105",NA,NA,NA,NA,NA,NA,NA,NA,"biological concepts taught context societal diseases genetically modified organisms green stem reproductive technology emphasis literacy enable students evaluate scientific arguments"
"762","MB&B251L","Laboratory for Biochemistry","<p>An introduction to current experimental methods in molecular biology, biophysics, and biochemistry. Limited enrollment. Requires preregistration by e-mail to aruna.pawashe@yale.edu and william.konigsberg@yale.edu prior to the first week of classes.</p>","MCDB301L",NA,NA,NA,NA,NA,NA,NA,NA,"methods molecular biology biophysics biochemistry limited enrollment email arunapawasheyaleedu williamkonigsbergyaleedu first classes"
"763","MB&B301","Principles of Biochemistry II","<p>A continuation of MB&B 300 that considers the chemistry and metabolism of nucleic acids, the mechanism and regulation of protein and nucleic acid synthesis, and selected topics in macromolecular biochemistry.</p>
","MB&B601",NA,NA,NA,NA,NA,NA,NA,NA,"mbb 300 considers chemistry metabolism nucleic acids mechanism protein acid topics macromolecular biochemistry"
"764","MB&B302","Principles of Biophysics","<p>An introduction to the theoretical basis of biophysical concepts and approaches with selected examples and applications.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"theoretical biophysical concepts applications"
"765","MB&B443","Advanced Eukaryotic Molecular Biology","<p>Selected topics in regulation of chromatin structure and remodeling, mRNA processing, mRNA stability, translation, protein degradation, DNA replication, DNA repair, site-specific DNA recombination, and somatic hypermutation.</p>
","GENE743","MB&B743","MCDB743",NA,NA,NA,NA,NA,NA,"topics chromatin remodeling mrna processing stability protein degradation replication repair sitespecific recombination somatic hypermutation"
"766","MB&B445","Methods and Logic in Molecular Biology","<p>An examination of fundamental concepts in molecular biology through analysis of landmark papers. Development of skills in reading the primary scientific literature and in critical thinking.</p>
","MB&B545",NA,NA,NA,NA,NA,NA,NA,NA,"concepts molecular biology landmark scientific"
"767","MB&B452","Biological Data Science, Mining and Modeling","<p>Techniques in data mining and simulation applied to bioinformatics, the computational analysis of gene sequences, macromolecular structures, and functional genomics data on a large scale. Sequence alignment, comparative genomics and phylogenetics, biological databases, geometric analysis of protein structure, molecular-dynamics simulation, biological networks, microarray normalization, and machine-learning approaches to data integration.</p>","CB&B752","CB&B754","CPSC752","MCDB752","MB&B752","MCDB452","MB&B754","CB&B753","MB&B753","techniques data mining simulation applied bioinformatics gene sequences macromolecular structures functional large scale sequence alignment comparative phylogenetics biological databases geometric protein moleculardynamics networks microarray normalization machinelearning"
"768","MB&B460L","Advanced Laboratory for Biochemistry","<p>An advanced laboratory in biochemistry, molecular biology, and biophysics. Students perform experiments on an individual basis that have unknown outcomes using techniques currently used in research labs.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"biochemistry molecular biology biophysics students perform experiments individual unknown using techniques currently used labs"
"769","MB&B471","Research in Biochemistry and Biophysics for the Major","<p>Individual laboratory projects under the supervision of a faculty member. Students must submit an enrollment form that specifies the research supervisor by the date that course schedules are due. Students are expected to commit at least ten hours per week to working in a laboratory. Written assignments include a research proposal, due near the beginning of the term, and a research report that summarizes experimental results, due before the beginning of the final examination period. Students receive a letter grade. No more than two credits of MB&amp;B 470/471 may be taken. These courses do count toward the degree requirements.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"individual projects students must enrollment specifies supervisor course schedules due commit ten working assignments proposal near beginning term report summarizes grade two mbampb 470471 may courses degree"
"770","MB&B473","Research in Biochemistry and Biophysics","<p>Individual laboratory projects under the supervision of a faculty member. Students must submit an enrollment form that specifies the research supervisor by the date that course schedules are due. Students are expected to commit at least ten hours per week to working in a laboratory. Written assignments include a research proposal, due near the beginning of the term, and a research report that summarizes experimental results, due before the beginning of the final examination period. Students are graded pass/fail. Taken after students have completed two credits of MB&amp;B 470 and 471. These courses do not count toward the degree requirements.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"individual projects students must enrollment specifies supervisor course schedules due commit ten working assignments proposal near beginning term report summarizes graded passfail completed two mbampb 470 471 courses degree"
"771","MB&B479","Intensive Research in Biochemistry and Biophysics","<p>Individual laboratory projects under the supervision of a faculty member. Students must submit an enrollment form that specifies the research supervisor by the day that course schedules are due. A required organizational meeting will be held at the beginning of each term. Students are expected to commit at least twenty hours per week to working in a laboratory. Written assignments include a research proposal, due near the beginning of the term, and a research report that summarizes experimental results, due before the beginning of the final examination period. No more than two course credits count as electives toward the B.S. degree.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"individual projects students must enrollment specifies supervisor course schedules due meeting will beginning term commit working assignments proposal near report summarizes two electives degree"
"773","MB&B571","Intensive Research for B.S./M.S. Candidates","Required of students in the joint B.S./M.S. program with Yale College.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"students joint bsms program yale"
"774","MCDB040","The Science and Politics of Cancer","<p>Fundamentals of cell biology, Darwinian evolution, immunology, and genetics that underlie cancer; the history of cancer science and treatment; historical and current policy issues.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"fundamentals biology darwinian evolution immunology genetics underlie cancer historical policy"
"775","MCDB103","Cancer","<p>Introduction to the biology of cancer, with a focus on leukemia, skin cancer, and cancers linked to infection. Topics include genetics, biochemistry, immunity, infection agents, and challenges for prevention and treatment. Intended for non–science majors and underclassmen.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"biology cancer focus leukemia skin cancers linked infection topics genetics biochemistry immunity agents challenges prevention intended nonscience majors underclassmen"
"776","MCDB109","Immunity and Contagion","<p>Introduction to the basics of the immune system; strategies to fight pathogens while maintaining harmony with our microbiome. Discussion of specific microbes such as&#160;influenza, HIV, and HPV; historical analysis of the polio vaccine and the AIDS epidemic.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"basics immune strategies fight pathogens maintaining harmony microbiome discussion microbes hiv hpv historical polio vaccine aids epidemic influenza"
"777","MCDB200","Molecular Biology","<p>A study of the fundamental principles of molecular biology, including the experimental methodologies used in biological research. Topics include the structure, function, and chemical behavior of biological macromolecules (DNA, RNA, and protein), chromosome and genome organization, replication and maintenance of the genome, transcriptional and translational regulation, microRNAs and other noncoding RNAs, RNA processing, systems biology, and synthetic biology. Designed to provide an accelerated venue for MCDB majors and other students seeking to understand the molecular basis for gene expression and the resultant implications for medicine and biological engineering.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"molecular biology including used biological topics function behavior macromolecules rna protein chromosome genome replication maintenance transcriptional translational micrornas noncoding rnas processing systems synthetic designed venue majors students seeking understand gene expression resultant implications medicine engineering"
"778","MCDB201L","Molecular Biology Laboratory","<p>Basic molecular biology training in a project-based laboratory setting. Experiments analyze gene function through techniques of PCR, plasmid and cDNA cloning, DNA sequence analysis, and protein expression and purification. Instruction in experimental design, data analysis, and interpretation.</p><p>Concurrently with or after MCDB 200, or with permission from instructor. For freshmen and sophomores interested in research integrated laboratory experience. Special registration procedures apply. Interested students must contact the instructor&#160;and attend an organizational meeting during the first week of classes.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"molecular biology projectbased setting experiments analyze gene function techniques pcr plasmid cdna cloning sequence protein expression purification instruction design data interpretationconcurrently 200 instructor freshmen sophomores interested integrated special procedures students must attend meeting first classes"
"779","MCDB205","Cell Biology","<p>A comprehensive introductory course in cell biology. Emphasis on the general principles that explain the molecular mechanisms of cellular function.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"introductory course biology emphasis explain molecular mechanisms function"
"780","MCDB240","Biology of Reproduction","<p>Introduction to reproductive biology, with emphasis on human reproduction. Development and hormonal regulation of reproductive systems; sexuality, fertilization, and pregnancy; modern diagnosis and treatment of reproductive and developmental disorders; social and ethical issues.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"reproductive biology emphasis hormonal systems sexuality fertilization pregnancy modern diagnosis disorders social"
"781","MCDB241L","Laboratory for Biology of Reproduction and Development","<p>Laboratory investigation of reproductive and developmental processes in classic vertebrate and invertebrate systems, with emphasis on mammalian reproduction and development. Topics include gametogenesis, ovulation, hormonal control of reproduction, and investigation of embryogenesis in the mouse, frog, and fruit fly. Focus on student-driven quantitative analysis of reproductive and developmental parameters with emphasis on modern Reproducible Research methods alongside classic instruction in course topics.</p><p>Enrollment limited. Concurrently with or after MCDB 210 or 240. Not open to freshmen. Special registration procedures apply; students must consult the instructor prior to the first week of classes.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"reproductive processes classic invertebrate systems emphasis mammalian topics gametogenesis ovulation hormonal control embryogenesis mouse frog fruit fly focus studentdriven quantitative parameters modern reproducible methods alongside instruction course topicsenrollment limited concurrently 210 240 freshmen special procedures students must consult instructor first classes"
"782","MCDB290","Microbiology","<p>Cell structure of microorganisms, bacterial genetics, microbial evolution and diversity, microbial development, microbial interaction, chemotaxis and motility, gene regulation, microbial genomics, host defense systems, infectious diseases, viruses, and biological weapons.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"microorganisms bacterial genetics microbial evolution diversity interaction chemotaxis motility gene host defense systems infectious diseases viruses biological"
"783","MCDB303L","Advanced Molecular Biology Laboratory","<p>A laboratory&#160;course that provides advanced biology research skills. Weekly workshops focus on laboratory practice, experimental design, data analysis, reading of primary literature, scientific presentations, and scientific writing skills. Application of these skills in project-based laboratory training sponsored by a faculty member.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"biology focus practice design data scientific presentations writing application projectbased course"
"784","MCDB315","Biological Mechanisms of Reaction to Injury","<p>Human biology and disease as a manifestation of reaction to injury. Organ structure and function, cell injury, circulatory and inflammatory responses, disordered physiology, and neoplasia.</p>
","PATH670",NA,NA,NA,NA,NA,NA,NA,NA,"biology disease manifestation reaction injury organ function circulatory inflammatory responses disordered neoplasia"
"785","MCDB344L","Experimental Techniques in Cellular Biology","<p>An inquiry-based approach to research in cell and molecular biology, with emphasis on experimental techniques commonly used in modern biomedical laboratories. Research is module-based and covers pertinent and timely topics.&#160;Methods include SDS-PAGE, immunoblotting, immunoprecipitation of proteins,&#160;column chromatography, mammalian cell culture, cell fractionation, cell transfection, plasmid design, DNA purification, PCR, and&#160;phase contrast and confocal microscopy.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"inquirybased molecular biology emphasis techniques commonly used modern biomedical laboratories modulebased covers pertinent timely sdspage immunoblotting immunoprecipitation chromatography mammalian culture fractionation transfection plasmid design purification pcr contrast confocal microscopy topics methods proteins column phase"
"786","MCDB345L","Experimental Strategies in Cellular Biology","<p>Continuation of MCDB 344L, with increased emphasis on experimental design, independent research, and&#160;presentation of data. Students develop semi-independent research projects in modern biomedical research. Emphasis on key components of being a successful principal investigator, including benchwork, seminar presentations, lab meetings, and critical analysis of data. Prepares for MCDB 475, 485, or 495.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"344l increased emphasis design independent data students develop semiindependent projects modern biomedical key components successful investigator including benchwork seminar presentations lab 475 485 495 presentation"
"787","MCDB370","Biotechnology","<p>The principles and applications of cellular, molecular, and chemical techniques that advance biotechnology. The most recent tools and strategies used by industrial labs, academic research, and government agencies to adapt biological and chemical compounds as medical treatments, as industrial agents, or for the further study of biological systems.</p>
","MCDB570",NA,NA,NA,NA,NA,NA,NA,NA,"applications molecular techniques advance biotechnology recent strategies used industrial labs academic government agencies adapt biological compounds medical treatments agents systems"
"788","MCDB387","The Eukaryotic Cell Cycle","<p>The regulation and coordination of the eukaryotic cell cycle examined by means of a detailed critique of primary literature. Particular attention to the role of the cell cycle in the processes of development and differentiation and in cancer and other diseases. Students develop an understanding of experimental approaches to problem solving.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"coordination eukaryotic cycle particular processes cancer diseases students develop problem solving"
"789","MCDB415","Cellular and Molecular Physiology","<p>Study of the processes that transfer molecules across membranes. Classes of molecular machines that mediate membrane transport. Emphasis on interactions among transport proteins in determining the physiologic behaviors of cells and tissues.</p>
","ENAS570","MCDB560","C&MP560","PHAR560",NA,NA,NA,NA,NA,"processes transfer molecules membranes classes molecular machines mediate emphasis interactions proteins determining physiologic behaviors tissues"
"790","MCDB461","Concepts and Applications in Systems Biology","<p>Analysis of the primary scientific literature on the topics of gene network design, stochasticity in gene expression, and evolution of genes and networks, in the context of both prokaryotic and eukaryotic systems. Critique of the approaches, data analysis, controls, results, and conclusions of selected current and classic papers in systems biology.</p>","MCDB599",NA,NA,NA,NA,NA,NA,NA,NA,"scientific topics gene design stochasticity expression evolution networks context prokaryotic eukaryotic systems data controls conclusions classic biology"
"795","MCDB450","The Human Genome","<p>A focus on the primary scientific literature covering the principles of genomics and its application to the investigation of complex human traits and diseases. Topics include the technology of genome sequencing and resequencing, the characterization of sequence and structural variation in human populations, haplotype and linkage disequilibrium analysis, genome-wide association studies, the comparative genomics of humans and our closest relatives, and personalized genomics and medicine.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"focus scientific covering application complex traits diseases topics technology genome sequencing resequencing sequence variation populations haplotype linkage disequilibrium genomewide association comparative closest relatives personalized medicine"
"796","MCDB291L","Laboratory for Microbiology","<p>Practical approaches used when working with microbes, primarily bacteria. Topics include microscopy, culture techniques, biochemical/metabolic assays, and basic environmental and medical microbiology.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"used working microbes bacteria topics microscopy culture techniques biochemicalmetabolic assays environmental medical microbiology"
"797","MENG185","Mechanical Design","<p>A course designed for potential majors in mechanical engineering, with units on design, materials science, structural mechanics, utilization of a machine shop, mechanical dissection, and computers in mechanical engineering. Includes a design project competition.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"course designed majors mechanical engineering design materials mechanics utilization shop dissection computers includes competition"
"798","MENG211","Thermodynamics for Mechanical Engineers","<p>Study of energy and its transformation and utilization. First and Second Laws for closed and open systems, equations of state, multicomponent nonreacting systems, auxiliary functions (H, A, G), and the chemical potential and conditions of equilibrium. Engineering devices such as power and refrigeration systems and their efficiencies.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"transformation utilization first laws closed systems state multicomponent nonreacting auxiliary g conditions equilibrium engineering refrigeration efficiencies"
"799","MENG286L","Solid Mechanics and Materials Science Laboratory","<p>Experiments that involve either structural mechanics or materials science. Comparisons between structural theories and experimental results. Relationships among processing, microstructure, and properties in materials science. Introduction to techniques for the examination of the structure of materials.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"experiments involve mechanics materials comparisons processing microstructure techniques"
"800","MENG363L","Fluid Mechanics and Thermodynamics Laboratory","<p>Hands-on experience in applying the principles of fluid mechanics and thermodynamics. Integration of experiment, theory, and simulation to reflect real-world phenomena. Students design and test prototype devices.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"handson applying fluid mechanics thermodynamics experiment simulation reflect realworld phenomena students design test prototype"
